name,class
十三味疏肝胶囊,中成药
十三味菥蓂丸,中成药
十三味马钱子丸,中成药
十二乌鸡白凤丸,中成药
十二味翼首散,中成药
十二味齿龈康散,中成药
十五制清宁丸,中成药
十五味乳鹏丸,中成药
十五味乳鹏胶囊,中成药
十五味赛尔斗丸,中成药
十五味黑药胶囊,中成药
十五味龙胆花九,中成药
十全大补片,中成药
十全大补膏,中成药
十全大补颗粒,中成药
十八味人参补气膏,中成药
十八味党参丸,中成药
十八味诃子利尿丸,中成药
十八味诃子利尿胶囊,中成药
十六味冬青丸,中成药
十味手参散,中成药
十味止咳片,中成药
十味活血丸,中成药
十味玉泉胶囊,中成药
十味蒂达胶囊,中成药
十味诃子丸,中成药
十味降糖颗粒,中成药
十味香鹿胶囊,中成药
十味龙胆花胶囊,中成药
十味龙胆花颗粒,中成药
十四味疏肝胶囊,中成药
十四味羚牛角丸,中成药
十枣丸,中成药
十枣汤,中成药
十滴水,中成药
十滴水胶丸,中成药
十灰丸,中成药
十灰散,中成药
十珍香附丸,中成药
十香丸,中成药
十香暖脐膏,中成药
十香返生丸,中成药
千喜片,中成药
千山活血膏,中成药
千斤肾安宁胶囊,中成药
千柏鼻炎片,中成药
千柏鼻炎胶囊,中成药
千紫红颗粒,中成药
千里光片,中成药
千金化痰丸,中成药
千金止咳丸,中成药
千金茶,中成药
千金藤素片,中成药
升提颗粒,中成药
升清胶囊,中成药
升血小板胶囊,中成药
升血灵颗粒,中成药
升血膏,中成药
升阳十一味丸,中成药
午时茶,中成药
半夏厚朴汤,中成药
半夏天麻丸,中成药
半夏止咳糖浆,中成药
半夏泻心汤,中成药
半夏白术天麻汤,中成药
半夏露糖浆,中成药
半夏露颗粒,中成药
半枝莲片,中成药
华佗再造丸,中成药
华佗延寿酒,中成药
华佗膏,中成药
华佗风痛宝胶囊,中成药
华山参气雾剂,中成药
华蟾素,中成药
华蟾素胶囊,中成药
协日嘎四味汤散,中成药
协日嘎四味汤胶囊,中成药
南宁生发片,中成药
南板蓝根颗粒,中成药
南欧千里光北美金缕梅提取物,中成药
博尔宁胶囊,中成药
博性康药膜,中成药
卡巴匹林钙颗粒,中成药
卤米松乳膏,中成药
卫生丸,中成药
卫生培元丸,中成药
卵磷脂片,中成药
厌食康颗粒,中成药
厚元行气丸,中成药
厚朴温中汤,中成药
去感热注射液,中成药
去痛片,中成药
去痛胶囊,中成药
参一胶囊,中成药
参七心疏胶囊,中成药
参丹散结胶囊,中成药
参乌健脑胶囊,中成药
参仙壮肾胶囊,中成药
参坤养血口服液,中成药
参坤养血颗粒,中成药
参归养血片,中成药
参景养阴胶囊,中成药
参术健脾丸,中成药
参术儿康糖浆,中成药
参杞全鹿丸,中成药
参杞冲剂,中成药
参杞杜仲丸,中成药
参杞片,中成药
参杞颗粒,中成药
参松养心胶囊,中成药
参柏舒心胶囊,中成药
参柏舒阴洗液,中成药
参柴肝康片,中成药
参桂养荣丸,中成药
参桂再造丸,中成药
参桂理中丸,中成药
参桂胶囊,中成药
参桂鹿茸丸,中成药
参梅养胃颗粒,中成药
参棘软膏,中成药
参泽舒肝胶囊,中成药
参灵肝康胶囊,中成药
参灵蓝胶囊,中成药
参皇乳膏,中成药
参皇软膏,中成药
参竹精颗粒,中成药
